path	poi	time_1	time_2	index
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	1	1	1
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	1	1	2
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	2	1	3
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	9	2	4
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	12	3	5
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	18	3	6
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	36	5	7
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	42	6	8
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	43	6	9
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	53	7	10
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	56	8	11
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	64	8	12
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	73	9	13
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	79	9	14
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	80	9	15
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	105	9	16
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	110	9	17
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	111	9	18
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	117	10	19
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	118	10	20
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	126	11	21
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	131	12	22
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	138	13	23
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	144	14	24
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	150	14	25
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	155	15	26
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	160	15	27
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	165	16	28
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	168	17	29
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	176	18	30
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	188	19	31
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	189	19	32
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	197	20	33
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	222	20	34
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	223	20	35
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	224	20	36
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	225	20	37
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	226	20	38
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	227	20	39
140411_KIF11_MitoSys1\cell0003_R0028	KIF11	229	20	40
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	24	4	1
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	27	4	2
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	28	5	3
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	29	5	4
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	30	5	5
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	35	5	6
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	45	6	7
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	52	7	8
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	58	8	9
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	65	8	10
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	91	9	11
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	94	9	12
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	95	9	13
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	96	9	14
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	97	9	15
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	98	9	16
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	99	9	17
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	117	10	18
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	122	10	19
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	129	12	20
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	135	12	21
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	141	13	22
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	148	14	23
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	153	15	24
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	158	15	25
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	161	15	26
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	176	18	27
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	177	18	28
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	185	18	29
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	186	18	30
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	196	20	31
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	198	20	32
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	199	20	33
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	200	20	34
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	213	20	35
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	219	20	36
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	220	20	37
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	225	20	38
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	230	20	39
140411_KIF11_MitoSys1\cell0007_R0009	KIF11	232	20	40
140411_KIF11_MitoSys1\cell0008_R0007	KIF11	6	2	1
140411_KIF11_MitoSys1\cell0008_R0007	KIF11	15	3	2
140411_KIF11_MitoSys1\cell0008_R0007	KIF11	19	3	3
